actual,predicted,error,abs_error
559736.9999999999,69212.30868090692,490524.691319093,490524.691319093
695272.8099999997,205489.2348271383,489783.5751728614,489783.5751728614
773120.1699999998,284215.9666756984,488904.2033243014,488904.2033243014
715486.6300000006,226815.62894101755,488671.00105898303,488671.00105898303
1082976.0299999993,594639.2724099954,488336.7575900039,488336.7575900039
930117.4600000001,442453.2232218474,487664.2367781527,487664.2367781527
604121.8599999995,117218.98861964648,486902.87138035306,486902.87138035306
817484.4400000003,331809.59730025346,485674.84269974683,485674.84269974683
785495.1299999998,300602.9083879025,484892.2216120973,484892.2216120973
640261.7500000003,155443.34611937948,484818.40388062084,484818.40388062084
998961.8500000007,1483401.065110368,-484439.2151103673,484439.2151103673
941950.81,459304.84617081366,482645.9638291864,482645.9638291864
777313.4100000001,295221.3901920576,482092.01980794256,482092.01980794256
768166.0799999995,286176.4489293248,481989.6310706747,481989.6310706747
591763.6100000002,110389.74911409464,481373.86088590557,481373.86088590557
692331.8100000003,210972.8349904741,481358.9750095262,481358.9750095262
605960.7100000001,124909.99116580938,481050.7188341907,481050.7188341907
675093.2200000006,1156119.5558527424,-481026.33585274185,481026.33585274185
656321.3700000006,175585.6128863389,480735.7571136617,480735.7571136617
618964.4599999997,138404.0831876374,480560.37681236234,480560.37681236234
638856.3699999996,158945.40227153726,479910.9677284624,479910.9677284624
954242.0000000003,474340.34762985545,479901.6523701449,479901.6523701449
1292281.6700000006,812475.9062956476,479805.763704353,479805.763704353
